,Real Personal Income,Real personal income ex transfer receipts,Real personal consumption expenditures,Real Manu. and Trade Industries Sales,Retail and Food Services Sales,IP Index,IP: Final Products and Nonindustrial Supplies,IP: Final Products (Market Group),IP: Consumer Goods,IP: Durable Consumer Goods,IP: Nondurable Consumer Goods,IP: Business Equipment,IP: Materials,IP: Durable Materials,IP: Nondurable Materials,IP: Manufacturing (SIC),IP: Fuels,Capacity Utilization: Manufacturing,Help-Wanted Index for United States,Ratio of Help Wanted/No. Unemployed,Civilian Labor Force,Civilian Employment,Civilian Unemployment Rate,Average Duration of Unemployment (Weeks),Civilians Unemployed - Less Than 5 Weeks,Civilians Unemployed for 5-14 Weeks,Civilians Unemployed - 15 Weeks & Over,Civilians Unemployed for 15-26 Weeks,Civilians Unemployed for 27 Weeks and Over,Initial Claims,All Employees: Total nonfarm,All Employees: Goods-Producing Industries,All Employees: Mining and Logging: Mining,All Employees: Construction,All Employees: Manufacturing,All Employees: Durable goods,All Employees: Nondurable goods,All Employees: Service-Providing Industries,"All Employees: Trade, Transportation & Utilities",All Employees: Wholesale Trade,All Employees: Retail Trade,All Employees: Financial Activities,All Employees: Government,Avg Weekly Hours : Goods-Producing,Avg Weekly Overtime Hours : Manufacturing,Avg Weekly Hours : Manufacturing,Housing Starts: Total New Privately Owned,"Housing Starts, Northeast","Housing Starts, Midwest","Housing Starts, South","Housing Starts, West",New Private Housing Permits (SAAR),"New Private Housing Permits, Northeast (SAAR)","New Private Housing Permits, Midwest (SAAR)","New Private Housing Permits, South (SAAR)","New Private Housing Permits, West (SAAR)",New Orders for Consumer Goods,New Orders for Durable Goods,New Orders for Nondefense Capital Goods,Un lled Orders for Durable Goods,Total Business Inventories,Total Business: Inventories to Sales Ratio,M1 Money Stock,M2 Money Stock,Real M2 Money Stock,Total Reserves of Depository Institutions,Reserves Of Depository Institutions,Commercial and Industrial Loans,Real Estate Loans at All Commercial Banks,Total Nonrevolving Credit,Nonrevolving consumer credit to Personal Income,S&P s Common Stock Price Index: Composite,S&P s Common Stock Price Index: Industrials,S&P s Composite Common Stock: Dividend Yield,S&P s Composite Common Stock: Price-Earnings Ratio,E?ective Federal Funds Rate,3-Month AA Financial Commercial Paper Rate,3-Month Treasury Bill:,6-Month Treasury Bill:,1-Year Treasury Rate,5-Year Treasury Rate,10-Year Treasury Rate,Moody s Seasoned Aaa Corporate Bond Yield,Moody s Seasoned Baa Corporate Bond Yield,3-Month Commercial Paper Minus FEDFUNDS,3-Month Treasury C Minus FEDFUNDS,6-Month Treasury C Minus FEDFUNDS,1-Year Treasury C Minus FEDFUNDS,5-Year Treasury C Minus FEDFUNDS,10-Year Treasury C Minus FEDFUNDS,Moody s Aaa Corporate Bond Minus FEDFUNDS,Moody s Baa Corporate Bond Minus FEDFUNDS,Switzerland / U.S. Foreign Exchange Rate,Japan / U.S. Foreign Exchange Rate,U.S. / U.K. Foreign Exchange Rate,Canada / U.S. Foreign Exchange Rate,PPI: Finished Goods,PPI: Finished Consumer Goods,PPI: Intermediate Materials,PPI: Crude Materials,"Crude Oil, spliced WTI and Cushing",PPI: Metals and metal products:,CPI : All Items,CPI : Apparel,CPI : Transportation,CPI : Medical Care,CPI : Commodities,CPI : Durables,CPI : Services,CPI : All Items Less Food,CPI : All items less shelter,CPI : All items less medical care,Personal Cons. Expend.: Chain Index,Personal Cons. Exp: Durable goods,Personal Cons. Exp: Nondurable goods,Personal Cons. Exp: Services,Avg Hourly Earnings : Goods-Producing,Avg Hourly Earnings : Construction,Avg Hourly Earnings : Manufacturing,Consumer Sentiment Index,Consumer Motor Vehicle Loans Outstanding,Total Consumer Loans and Leases Outstanding,Securities in Bank Credit at All Commercial Banks
1959-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.8,,40.2,7.4127640174265625,5.857933154483459,6.113682179832232,6.22455842927536,5.857933154483459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0.34,0.61,0.88,1.53,1.54,1.64,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-02,0.39314009788800064,0.3612862223069335,1.0367562048856804,0.735762272262086,0.7309849694278725,1.9397208360181661,1.3406380879336766,0.8623323756114409,0.7309053990990133,0.5236158991885453,0.9511533201513878,1.328850305014928,3.1175737840164697,4.503041697204191,1.7354730322670875,1.8219137031246113,-1.3716289681867444,1.245500000000007,64.0,0.024806722000000003,-0.4233512979304521,-0.2885099843696892,-0.09999999999999964,-0.8000000000000007,-1.2787898049755775,-0.42863331806852756,-8.909742728977843,-8.609352469940124,-9.132809390520347,-2.829279575656507,0.3993691480467021,0.49886002728491974,-1.241901369334375,-0.4352928353249297,0.7770769352223539,1.126355841136828,0.28721896240959666,0.3438059106770197,0.38906950422656905,0.2604927504773258,0.5777346570084774,0.08267879759937813,0.1356266775928816,39.7,0.10000000000000009,40.3,7.418780882750794,5.846438775057725,6.150602768446279,6.230481447578482,5.840641657373398,,,,,,,4.5415505183113325,,2.449336610408892,0.34368232250887587,-0.02066225200000016,,,0.42424306054282823,,-1.0928961748633892,,,,0.0008003990000000072,-1.5400250010188188,-1.64927652381337,0.06117566100000005,-0.14986127272007543,-0.04999999999999982,-0.040000000000000036,-0.11999999999999966,0.040000000000000036,0.18000000000000016,-0.04999999999999982,-0.05999999999999961,0.019999999999999574,0.019999999999999574,0.83,0.27,0.7,1.11,1.53,1.53,1.71,2.46,0.02550576791984227,0.0,0.09971865921230005,0.7930419028133684,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959-03,0.6430111198919342,0.735934057421872,0.9410089683639988,-0.3422928828394234,0.8321199349909492,1.4300523032192647,0.6032991545304789,0.48994905625519003,0.0,1.9391057867159223,-0.4744457985404793,1.0744761157325033,2.5644563780568674,3.8644428259901886,1.4912967439509206,1.552240465104715,2.5002168621682586,1.0340999999999951,103.0,0.042561243000000026,0.6174632967647753,0.9112926583117797,-0.3000000000000007,-0.1999999999999993,-6.308098240480753,-6.293614011484383,-5.389321744175302,-2.7908788117076533,-7.368771579115929,-8.328696117769141,0.616830397979129,0.9431298339071859,-0.014201519586443112,1.101295963085036,0.9481864678177132,1.4154358978284876,0.28639637714285016,0.4339938612977434,0.5256132715004469,0.34885108443267754,0.9303769170278642,0.41237171838623965,0.19694738025322067,40.0,0.19999999999999973,40.4,7.3901814282264295,5.799092654460526,6.023447592961033,6.220590170099739,5.924255797414532,,,,,,,2.216608976094925,,2.49732636308444,0.5133188718435377,-0.010331124999999997,-0.1443480629633065,0.13694645636759262,0.6229923686523087,0.5189425242225099,-1.6574585635359074,-0.27516996226255586,-0.43834063539085477,-0.12942776325224337,0.00035782500000000605,2.5062160921924814,2.472188212726678,-0.06780858200000006,3.1069935974505025,0.36999999999999966,0.0900000000000003,0.09999999999999964,0.0,0.06999999999999984,0.03000000000000025,0.03000000000000025,-0.009999999999999787,-0.040000000000000036,0.55,0.0,0.33,0.81,1.19,1.19,1.33,2.05,0.22000680473601708,0.0,0.12095341211344479,-0.5142457079799261,-0.3016593539425738,-0.299850299625648,-0.32626456348161526,0.9528880596038292,-1.0050335853501569,1.223256843563414,-0.06902500583763072,0.2234637801416195,0.33725286637644736,-0.002225015853341006,-0.30075210639548544,0.5235614053944904,-0.4357305368955622,0.0,0.0,0.0,-0.02497836933268438,0.06662958483518722,-0.11240660162838978,0.026180347367477097,-0.002183620661522223,-0.8146650775271436,0.4818828832769184,,0.49291535414024423,0.41384406044073785,-1.4792358776008818
1959-04,0.6494120796220137,0.7048638801936846,-0.363946947079441,1.9922104421988607,0.061571196593668276,2.108094919407444,1.433652173939759,1.4542978029572495,1.5654847359958701,0.6381018148664985,1.650932993213683,2.5795444784280086,2.7243586993038527,2.9658841816106563,3.0499387110384024,2.1100639802424492,-0.44990786195127086,1.5152999999999963,65.0,0.044026277999999974,0.3973408352138108,0.776537400806987,-0.39999999999999947,-0.40000000000000036,2.370581716997755,-15.720504994769602,-15.2361647491559,-26.160983214200595,-7.478693562893923,-5.500252554983653,0.5774220209513459,1.0433607091275832,0.15610589986270185,2.3615397209187705,0.8223515864406394,1.2415634487393135,0.22218704585768023,0.31472002682004785,0.2938747637980299,0.4825053268939783,-0.6687011156095934,0.3696861881326008,0.12289543146870585,40.2,0.10000000000000009,40.5,7.371489295214277,5.616771097666572,5.968707559985366,6.284134161070802,5.961005339623274,,,,,,,1.0990100889950227,,1.6413723206994746,1.3336544913880033,0.0,-0.21497679364923528,-0.2093018884358422,0.2700946972840512,2.6983775349816774,1.1235955056179803,1.4651215772071957,0.42067430061418776,-0.08566704988921536,6.722299999997738e-05,1.6599356944409394,1.87231051341481,-0.040203271999999846,1.4298930226512407,0.16000000000000014,0.06999999999999984,0.15000000000000036,0.14000000000000012,0.11000000000000032,0.1299999999999999,0.1299999999999999,0.10000000000000053,0.010000000000000675,0.46,-0.01,0.31,0.76,1.16,1.16,1.27,1.9,-0.004626737919255497,0.0,0.13501032392571055,-0.6413593930535588,0.0,0.599700599251296,0.0,0.31494821342681334,1.0050335853501569,-1.8330148303752125,0.13801433164921662,0.2234637801416195,-0.34070025067394205,-0.47058910374127016,0.30075210639548544,-0.5235614053944904,0.4338401598598107,0.34542348680877133,0.0,0.0,0.13047305638935747,-0.022927495289337685,0.13489935776287432,0.1752366380382675,-0.002163354930895256,1.2203451470885862,-0.4889527691011919,,1.2134027050722196,0.6734295668440637,2.492924342483338
1959-05,0.5763112341671928,0.6616462786160682,1.2005353998781665,0.679731182026444,0.7803395032292215,1.4951291856917237,0.827073311948423,0.9583454625965881,0.47660883661335696,2.015393728223458,0.0,3.1887342448148726,2.5430830779052727,3.404350242489418,0.8943392069335587,1.3825219023713586,-1.9351635652560262,0.9236999999999966,66.0,0.03073801399999998,-0.23586816973999447,-0.10659087880764417,-0.10000000000000053,-0.20000000000000107,-1.0090902981962913,7.326638226433335,-7.388588976024124,-4.512043528046927,-9.293582174386206,0.21849957513868645,0.42855470704452614,0.5640815019047452,0.6783519511646574,0.06480881626700352,0.6607953560033408,0.9102437141550013,0.30075210639548544,0.35178272675615574,0.4026728237695565,0.4035130275728882,1.1224165680360443,0.3274665226751239,0.13501075999862167,40.3,0.0,40.7,7.311886164077165,5.560681631015528,5.872117789475416,6.18826412308259,5.981414211254481,,,,,,,-4.303751181810611,,-0.3042673203191626,0.5709503285238782,-0.010331125999999857,0.7132697857427317,0.4105607346492235,0.518135874199821,-2.153480238698613,-1.1111111111111072,0.8724929968512818,-0.05894976260112372,0.16473458397308072,0.0005674320000000066,1.4949000790516642,1.9023417349840699,-0.03467728300000017,1.1409877484827025,-0.06000000000000005,0.14000000000000012,-0.11000000000000032,0.06000000000000005,0.23999999999999977,0.22999999999999954,0.1899999999999995,0.13999999999999968,0.09999999999999964,0.66,-0.06,0.43,1.06,1.45,1.41,1.47,2.06,0.004626737919255497,0.0,-0.07103534306873716,-0.06228589425907871,0.30075210639548544,-0.599700599251296,0.6493529310548141,-1.2658270103295344,0.0,1.2195159736235972,0.17231279527818444,-0.0004982474147041671,-0.3372684478639254,0.4683849312426158,0.30075210639548544,0.2607563407080793,-0.0018740454081456193,-0.0011890677114934078,0.0,0.0,-0.14307054679703057,0.06463129731084649,-0.16865335466236253,-0.19367283461009244,-0.0021433700207906803,-0.4089716546245237,-0.48192864359489773,,0.28283000516644563,0.2020398955041358,-1.5342230301444104
1959-06,0.31024359521909517,0.29737903728559445,0.3708286078919265,-0.005152301952904281,0.9064341222215333,0.11389402313808361,0.7035740465162199,0.7122432951440771,-0.47660883661335696,0.7451701228095686,-0.7040233435367416,2.327376151110805,-0.6575150768718174,-0.7349511483101256,-0.3004740501753034,0.11431481576922309,0.0,-0.1472999999999871,62.0,0.025017665000000078,0.1465674179247145,0.23157450062285534,-0.09999999999999964,0.20000000000000107,2.8659075710831594,-4.268940869505045,-0.20746895408603194,6.213178110700568,-4.8094753849334815,4.476509949543583,0.2443324508224265,0.43254444369846823,0.701757265864611,0.4202365971078592,0.43168779387130485,0.5335088053190162,0.2840911001603885,0.1374450070887434,0.17338143687251062,0.2834056509895433,0.21054373812319227,0.2856561828185278,-0.12272951957790212,40.2,0.0,40.6,7.315218389752975,5.537334267018537,5.8377304471659395,6.249975242259483,5.961005339623274,,,,,,,4.56926156682762,,0.7620679484944048,0.9996751048392483,0.010331125999999857,-0.3585336918629167,-0.07314619458904659,0.4066457376468158,-0.002890549349165994,-1.6853932584269704,0.18852357824257204,-0.18191954443955716,0.22963689570580925,0.0008991640000000078,-0.8664063901338004,-0.5490969868715112,0.03838173400000011,-2.0283709789920223,0.4900000000000002,0.27,0.3700000000000001,0.18999999999999995,0.11000000000000032,0.15000000000000036,0.03000000000000025,0.08999999999999986,0.08000000000000007,0.44,-0.18,0.13,0.68,1.11,0.95,1.07,1.65,-0.26174690366316256,0.0,-0.0710858391405722,-0.41623369146873423,-0.6015042127909709,0.599700599251296,-0.6493529310548141,-0.004031323383202334,0.0,-0.3062676172963741,0.03393147368777605,-0.0004960305158174805,0.3361347702704798,-0.0021836206614889164,-0.30075210639548544,-0.2607563407080793,-0.4319661144516651,-0.0011809094183856672,0.32520353863776386,0.3372684478639254,0.22926272352221666,0.03289460058528704,0.331579676453142,0.20934036711541815,-0.46189458562944097,0.39917621602594267,0.4796172263492937,,0.9726265255542543,0.9006691976392034,-1.2251827549356165
1959-07,-0.058920981325716326,-0.0763844722053264,-0.3426873385349527,1.2110069405837365,-0.0330178207915921,-2.4237822425884126,0.11671483664197346,0.8251566470617533,1.3055525383742328,1.9605580435156256,0.820965624312775,0.21854072118858703,-6.117347993778477,-10.54790891629942,0.47311151653732786,-1.8453608368028451,-2.325792739451771,-1.788800000000009,6.0,-0.012350391000000072,0.3815319976427034,0.24949959038575997,0.09999999999999964,-0.5999999999999996,4.433748991615527,8.363079907241122,-7.995617628422114,-5.192761093276399,-10.171752437932557,1.9137468389592627,0.22886924443525913,0.3436693900846777,1.4302819675359402,-0.4202365971078592,0.44263471570147317,0.6170520255226464,0.18894667879205684,0.1635180088118915,0.0820232445166269,0.0841010791571506,0.06581834375385398,0.24420036555516944,0.36773760489978713,39.9,-0.10000000000000009,40.3,7.344072850573066,5.602118820879701,5.916202062607435,6.278521424165844,5.918893854273146,,,,,,,-7.937512457356455,,-0.799903748851527,0.7706742929924459,0.030993377000000155,-0.0012539301304848038,-0.2748099076982591,0.23727149045527085,1.6143640411138804,1.1428571428571344,-0.8698611315494098,-0.17953757921373992,0.00851216628090512,0.0014918999999999905,3.8912759236820804,3.9376415761614325,-0.10772815699999994,2.309991288121216,0.08000000000000007,0.1499999999999999,-0.009999999999999787,0.2999999999999998,0.3199999999999994,0.08000000000000007,0.0600000000000005,0.009999999999999787,0.040000000000000036,0.51,-0.27,0.35,0.92,1.11,0.93,1.0,1.61,-0.044077902605499375,0.0,-0.028448490643828706,-0.1774252931130621,-0.0009072475470883745,-0.599700599251296,-0.3241493924170502,-0.32614447754815146,0.0,-1.2167387258426476,-0.10344127619674737,-0.0004938283797883969,-0.0011260817422975578,-0.4662013105811269,0.0,0.26007817000577305,0.4301081899390269,-0.34305350967889225,-0.0010541462207136476,-0.0011336775934456256,-0.07490772777263288,-0.1520709666612774,-0.12378096522627224,-0.010034721858431794,0.0,-0.4040150427726985,-0.4796172263492937,,-0.4630642390473838,-0.09995448981676702,2.934127949386678
1959-08,-0.5636561012989816,-0.5747509276060825,0.6003328266391605,-5.244613558945765,0.6364206307280185,-3.4463814859564845,-0.7027504597531209,-0.23518695839466197,0.11781800010099985,-2.8308890856542757,1.1614556097596207,-0.8781554381123602,-7.897013768254624,-12.852671830368312,-0.36899906569627383,-4.038662117790226,1.633511140438637,-3.512199999999993,-85.0,-0.031856946,-0.15623748350481748,-0.25721010676296174,0.10000000000000053,-0.6000000000000014,1.0006337399725673,6.113014040500797,0.0,3.2462276144660684,-2.6613648518090116,8.688379586582862,-0.8736288530576175,-2.4885933544084082,-8.37953164537435,-0.06480881626700352,-2.7317189285916754,-4.864987614710081,0.2984373533642781,0.03500481351927931,0.2456668357147862,1.5432463555950626,0.32115643822141493,0.1624695727001857,0.09783539975689592,40.0,0.10000000000000009,40.4,7.265429723253953,5.438079308923196,5.857933154483459,6.161207321695077,5.929589143389895,,,,,,,-4.842342895364737,,-0.02943772788466248,0.16437459965175094,0.030993378000000016,-0.21243841681313214,0.03235535292462899,0.30564480289054785,-1.6114734917647144,-0.5649717514124242,-0.2805160069945245,-0.14731949507198472,-0.016430675968059916,0.002232431000000007,-0.5707586419364752,-0.765808228051057,0.028426667000000183,-1.8620008464525384,0.029999999999999805,-0.009999999999999787,0.17999999999999972,0.050000000000000266,0.03000000000000025,-0.009999999999999787,0.02999999999999936,-0.040000000000000036,0.009999999999999787,0.47,-0.12,0.37,0.92,1.07,0.93,0.93,1.59,0.11131726566933065,0.0,-0.07827510539843985,-0.2824417380511368,-0.0009127377111450841,-0.30256116071241124,0.3241493924170502,-0.009365683103368383,0.0,-0.008417154165218932,-0.034452474083090934,-0.0004916408760102797,-0.3350086885281822,0.46403795565024275,0.0,-0.5201563400115461,-0.0018420107389172102,0.34188067487859186,-0.3241493924170502,-0.3361347702704798,-0.0682690476213832,-0.51229241857218,0.08947879766476596,-0.06192089898116038,0.0,0.39445283261989594,-0.9615458699441914,,-0.047233801149815235,-0.05021247364993542,-2.549545290244648
1959-09,0.07213581113036938,0.0,1.001845080079189,1.4619064748687904,-1.3156997839013584,-0.12078407837186056,-0.4709848908252212,-0.35339274228443074,-0.35387125224444205,-3.041869002424935,0.5757079924642028,-0.7749033862718857,-0.12639520039678942,-0.39990078457363687,0.13135571917715083,-0.24264149793116196,-0.6968114007187776,-0.4187000000000012,-33.0,-0.03135617599999996,0.16499124033106938,-0.11418520845012381,0.2999999999999998,0.0,-0.3116238109208247,13.588710631698131,0.672648276095078,9.820970229965997,-7.762516203053593,-4.70456924891085,0.17234277990993974,0.015747618205352865,-2.197890671877456,-1.1082251622818617,0.34147655981975333,0.5311047005845282,0.07838833982951599,0.2592372889122174,-0.11820869755645447,-0.6530666271480356,-0.08383910673881445,0.24321049686122365,0.7064584801891982,40.0,-0.10000000000000009,40.4,7.3395376954076745,5.488937726156687,5.8916442118257715,6.327936783729195,5.929589143389895,,,,,,,2.6886713776086424,,1.5007430339199601,-0.42793723751923807,-0.01033112600000008,-0.7773131257190258,-0.3045166820769829,-0.13791746841835817,0.5361943141385161,0.5681818181818121,-0.6715014400598296,-0.060952677813297385,-0.08441336749394068,0.0011386979999999935,-4.0366150060514805,-4.050173412621216,0.13674647399999973,-5.697607986192166,0.2599999999999998,0.6599999999999997,0.6600000000000001,0.8300000000000001,0.5800000000000001,0.33000000000000007,0.25,0.08999999999999986,0.08999999999999986,0.87,0.28,0.94,1.24,1.14,0.92,0.76,1.42,0.24769964629505203,0.07197797357045843,-0.20665581358771945,-0.3042545493498486,1.507405943271145,2.1016899189521876,0.0,1.6218079202543034,0.0,2.4530890077966827,0.13674002850874167,-0.0004894678750311243,0.33389012655149486,-0.0021433700208017825,0.598804184462276,0.5201563400115461,-0.001826300554341742,-0.34188067487859186,0.3231020581446753,0.3350086885281822,0.12291354831130974,0.6350559662858579,0.07222513628599714,-0.0008683576815826655,0.0,-0.3991771304719838,1.4434745135390892,,-1.3087624420650812,-0.668517358975862,1.6332904816609428
1959-10,0.12800622850699384,0.11521476023279575,-0.6835068703887615,0.15992146195848989,0.7288017705775474,-0.7291419493526963,-0.23632691620325552,-0.4732848001711254,-0.47378474385451064,2.2901605848351103,-1.2707572498705577,-0.779825369439946,-1.0179974076997222,-1.6176365340094367,-1.883352602251609,-0.8543904140881242,-0.5842593769918025,-0.8952000000000027,-52.0,-0.02797886200000005,0.4018467035592721,0.2174567678576267,0.20000000000000018,-0.7999999999999989,8.836293928925532,1.3245226750020933,-1.3498517670895716,-2.93806443932203,0.22396425935049535,13.109044435432438,-0.13110334692996162,-0.6688283615101653,0.47397076728259435,-1.1537955588822868,-0.6313318352209052,-0.7920385374431405,-0.40829202447927315,0.1656760395823298,0.027291335170609443,0.1551590691418525,0.1803492705580112,0.28299998673366744,0.31507539395345674,39.6,0.0,40.1,7.2115567333138015,5.537334267018537,5.720311776607412,6.093569770045136,5.8664680569332965,,,,,,,1.8725930022585047,,1.2946696711100714,0.3183841939360832,0.01033112600000008,0.28102921834607386,-0.1685942733839596,-0.41489736490092355,0.0,0.0,-0.05588511372334182,0.1408163579478927,0.05359720490973885,0.0011889340000000026,-0.08768084735342185,-0.2781187886776948,0.014484786000000138,-1.7700201310101527,0.2200000000000002,0.10000000000000053,0.009999999999999787,-0.16999999999999993,-0.20000000000000018,-0.1800000000000006,-0.14999999999999947,0.05000000000000071,0.10000000000000053,0.75,0.07,0.55,0.82,0.74,0.55,0.59,1.3,0.31625506800947445,0.036011208009867346,0.09269162873988268,-0.4106349544809811,-2.1070956115811335,-2.696897563285683,0.0,-1.2987058621096281,0.0,-0.6237016821925234,0.1016942013014166,-0.22099456508026805,-0.001111117284047225,-0.46189458562944097,-0.598804184462276,-0.26007817000577305,-0.0018107905006559122,0.3407158321614201,-0.3231020581446753,-0.3350086885281822,-0.025245685722463662,-0.23990134491125303,-0.022958675698392383,0.04220862517896329,0.0,0.3898399170009448,-0.9638572871897955,,-0.16013671592798318,-0.3006789440386015,-0.3397303281035491
